FILE,DATE,TARGET,FILTER,EXPTIME,RA,DEC,FP1_RA,FP1_DEC,FP2_RA,FP2_DEC,FP3_RA,FP3_DEC,FP4_RA,FP4_DEC,CTYPE1,CTYPE2,CRVAL1,CRVAL2,CRPIX1,CRPIX2,CD1_1,CD1_2,CD2_1,CD2_2,NAXIS1,NAXIS2
2024-03-06T22-52-39_M 3_LIGHT-L_-20.00_ZWO ASI1600MM Pro_20.00s_139_1x1_0000.fits,2024-03-06T22:52:39.139,M 3,L,20.0,205.5494292173,28.360536549,205.86865018192407,27.99028488464847,205.23359601547315,27.988344014730263,205.22797562752544,28.73003958110215,205.8674830299312,28.731996229668,RA---TAN,DEC--TAN,205.5494292173,28.360536549,2328.5,1760.5,-6.415741928466e-07,-0.0001593608141619,0.0001593394809461,-5.537791582389e-07,4656,3520
2024-03-06T22-53-01_M 3_LIGHT-L_-20.00_ZWO ASI1600MM Pro_20.00s_139_1x1_0001.fits,2024-03-06T22:53:01.444,M 3,L,20.0,205.5492901245,28.36001279222,205.86856341348567,27.98977324997712,205.2333215672949,27.98771804914237,205.22778396756985,28.729503466045976,205.86748080638515,28.731574060914298,RA---TAN,DEC--TAN,205.5492901245,28.36001279222,2328.5,1760.5,-6.257612183788e-07,-0.0001594087528772,0.0001593587441377,-5.862168275742e-07,4656,3520
2024-03-06T23-01-38_M 3_LIGHT-L_-20.00_ZWO ASI1600MM Pro_20.00s_139_1x1_0000.fits,2024-03-06T23:01:38.197,M 3,L,20.0,205.5454966821,28.36224027835,205.86461976014223,27.99200423894774,205.22963529628268,27.990053100746163,205.22414159750824,28.73172811520027,205.8635790028322,28.733694442650293,RA---TAN,DEC--TAN,205.5454966821,28.36224027835,2328.5,1760.5,-6.176425216065e-07,-0.0001593407889303,0.0001593350018186,-5.566148262929e-07,4656,3520
2024-03-06T23-01-59_M 3_LIGHT-L_-20.00_ZWO ASI1600MM Pro_20.00s_139_1x1_0001.fits,2024-03-06T23:01:59.130,M 3,L,20.0,205.5453239114,28.36233897695,205.86445770128427,27.99210237422713,205.22947929842087,27.990110428832235,205.2239580275618,28.73182732517004,205.8633895987452,28.73383458736072,RA---TAN,DEC--TAN,205.5453239114,28.36233897695,2328.5,1760.5,-6.228328710284e-07,-0.0001593391532419,0.0001593440131729,-5.682295822398e-07,4656,3520
2024-03-06T23-02-19_M 3_LIGHT-L_-20.00_ZWO ASI1600MM Pro_20.00s_139_1x1_0002.fits,2024-03-06T23:02:19.975,M 3,L,20.0,205.5454800334,28.36214672163,205.8646367209837,27.99187477847229,205.229630504691,27.989892646102007,205.22409089596744,28.731670305747283,205.8635508061045,28.73366783955312,RA---TAN,DEC--TAN,205.5454800334,28.36214672163,2328.5,1760.5,-6.262508710336e-07,-0.0001593464624663,0.0001593570765729,-5.654526812946e-07,4656,3520
2024-03-06T23-02-40_M 3_LIGHT-L_-20.00_ZWO ASI1600MM Pro_20.00s_139_1x1_0003.fits,2024-03-06T23:02:40.757,M 3,L,20.0,205.5454788669,28.36226229653,205.86471306220665,27.991965795705493,205.22959125807185,27.989957350009217,205.22401152111868,28.73181007243777,205.86358830270527,28.733834106030898,RA---TAN,DEC--TAN,205.5454788669,28.36226229653,2328.5,1760.5,-6.337147894604e-07,-0.0001593753534821,0.0001593732236225,-5.729567007184e-07,4656,3520
2024-03-06T23-03-01_M 3_LIGHT-L_-20.00_ZWO ASI1600MM Pro_20.00s_139_1x1_0004.fits,2024-03-06T23:03:01.553,M 3,L,20.0,205.5454388367,28.36219061181,205.8646289883549,27.99190623692461,205.2295689719076,27.989951704887613,205.22401592219333,28.731726469776987,205.86353000137493,28.73369646620465,RA---TAN,DEC--TAN,205.5454388367,28.36219061181,2328.5,1760.5,-6.287565170064e-07,-0.0001593598962381,0.0001593564618576,-5.576178078506e-07,4656,3520
2024-03-06T23-03-22_M 3_LIGHT-L_-20.00_ZWO ASI1600MM Pro_20.00s_139_1x1_0005.fits,2024-03-06T23:03:22.319,M 3,L,20.0,205.5454938353,28.36204122205,205.8646349129044,27.991703049368244,205.2296300078546,27.989764382457604,205.224120025574,28.731631109791213,205.86357913373843,28.73358503915314,RA---TAN,DEC--TAN,205.5454938353,28.36204122205,2328.5,1760.5,-6.206026089136e-07,-0.0001593463561859,0.0001593761964996,-5.530808801808e-07,4656,3520
2024-03-06T23-03-43_M 3_LIGHT-L_-20.00_ZWO ASI1600MM Pro_20.00s_139_1x1_0006.fits,2024-03-06T23:03:43.293,M 3,L,20.0,205.5453157575,28.36197460911,205.8644704741969,27.991710598260447,205.2294781432468,27.9897864229513,205.2239286688434,28.73149027326167,205.86337412119263,28.733429896796224,RA---TAN,DEC--TAN,205.5453157575,28.36197460911,2328.5,1760.5,-6.281707706459e-07,-0.0001593431774663,0.0001593412246534,-5.489885272638e-07,4656,3520
2024-03-06T23-04-04_M 3_LIGHT-L_-20.00_ZWO ASI1600MM Pro_20.00s_139_1x1_0007.fits,2024-03-06T23:04:04.143,M 3,L,20.0,205.5450193465,28.36185640529,205.86413373773303,27.991547801489613,205.2291560646472,27.9896125358422,205.22367260580177,28.731416852910787,205.8631038806936,28.73336725837941,RA---TAN,DEC--TAN,205.5450193465,28.36185640529,2328.5,1760.5,-6.156465184275e-07,-0.0001593397490521,0.0001593627751982,-5.520971250761e-07,4656,3520
